AuthorID,FullName,Nationality,BirthYear ,Biography
23070401,Michael J. Berry,American,1957,Data mining and business analytics expert
23070402,Gordon S. Linoff,American,1954,Predictive analytics and data mining specialist
23070403,C. J. Date,British,1941,Relational database theory pioneer
23070404,Abraham Silberschatz,American,1952,Database and operating systems professor
23070405,Stuart Russell,British,1962,Artificial intelligence researcher and educator
23070406,Peter Norvig,American,1956,AI scientist and technology researcher
23070407,Raghu Ramakrishnan,Indian-American,1965,Database systems researcher
23070408,Henry F. Korth,American,1957,Database management systems academic
23070409,Kenneth C. Laudon,American,1949,Management information systems author
23070410,Gary B. Shelly,American,1948,Information technology education author
23070411,Andrew S. Tanenbaum,Dutch-American,1944,Computer networking and systems expert
23070412,Kathy Schwalbe,American,1960,Project management consultant and author
23070413,Lindsay Herbert,British,1975,Digital transformation strategist
23070414,Judy Strauss,American,1963,Digital and internet marketing researcher
23070415,Philip Kotler,American,1931,Marketing theory and strategy scholar
23070416,Stephen Prata,American,1952,C programming language author
23070417,David Beskeen,American,1968,Computer applications textbook author
23070418,Ian Jacques,British,1966,Mathematics and business statistics author
23070419,Ken Black,American,1959,Business statistics and analytics expert
23070420,Ralph Stair,American,1951,Management information systems writer
23070421,George Reynolds,American,1958,Business law and e-commerce author
23070422,Douglas W. Hubbard,American,1962,Decision analysis and valuation expert
23070423,Douglas W. Hubbard,American,1962,Information security researcher
23070424,Matt Bishop,American,1965,Computer security and assurance expert
23070425,Eugene F. Brigham,American,1930,Corporate finance scholar
23070426,Joel F. Houston,American,1955,Financial management academic
23070427,Ross Westerfield,American,1956,Corporate finance textbook author
23070428,Jerry J. Weygandt,American,1947,Auditing and accounting author
23070429,Donald E. Kieso,American,1939,Financial accounting educator
23070430,Paul Deitel,American,1956,Programming and software development author
