BookID,Title,ISBN,Publisher,Pubyear
1,Data mining for business analytics,9780132350884,"John Wiley & Sons, Inc.",2018
2,An  introduction to database systems,9780201616224,Pearson/Addison Wesley,2004
3,Artificial Intelligence,9780201633610,Addison-Wesley,2004
4,Database Management Systems,9780262033848,McGraw-Hill,1999
5,Management Information Systems ,9780073523323,McGraw Hill,2011
6,Hands-On Projects To Build A Website With HTML And CSS,9780136042594,"Gabriel, York",2022
7,Computer networking,9781118063330,Pearson,2002
8,Information Technology Project Management,9780132126953,Cengage Learning,2016
9,The human side of digital business transformation,9780590353427,John Wiley & Sons,2023
10,Internet Marketing & E-commerce,9780439064873, Thomson/South-Western,2007
11,Digital marketing,9780618640157, Pearson Education Limited,2016
12,C primer plus.,9780547928227,Addison-Wesley,2014
13,Microsoft Office 2010 essential,9780061120084,"Course Technology, Cengage Learning",2011
14,Mathematics for economics and business,9780451524935,Pearson Education,2018
15,Business statistics,9780743273565,Cengage Learning,2017
16,Computer Networking,9781503290563,Pearson,2021
17,Enterprise information systems,9780316769488, World Scientific Pub.,2010
18,Law of Electronic Commercial Transactions,9780062315007,Routledge,2014
19,Intellectual Property,9780062316097,Pearson,2010
20,Data Structures and Algorithms with C,9780062464316,Alpha Science International Ltd,2018
21,PHP and MySQL Web Development,9780316017930,Addison-Wesley,2017
22,Quantitative Methods for Business ,9780374533557,Financial Times Prentice Hall,2011
23,Principles of information security,9781612680194,Thomson Course Technology,2018
24,Principles of marketing,9780307887894, Pearson Education,2018
25,Financial markets and institutions ,9780804139298,McGraw-Hill,2009
26,Strategic Management,9780262035613,South Western Cengage Learning,2009
27,Fundamentals of corporate finance,9781449361327,McGraw-Hill/Irwin,2013
28,Decision support and business intelligence systems ,9781593276034,Prentice Hal,2011
29,Auditing and assurance services,9781593279509,Pearson Education,2017
30,Intermediate accounting,9781491904244,Wiley,2012
