LoanID,MemberID,CopyID,StaffID,LoanDate,Duedate,ReturnDate,Status
LD240001,MB230001,CP001,ST001,2025-01-05,2025-01-19,2025-01-18,Returned
LD240002,MB230002,CP002,ST002,2025-01-06,2025-01-20,2025-01-22,Overdue
LD240003,MB230003,CP003,ST003,2025-01-07,2025-01-22,2025-01-21,Returned
LD240004,MB230004,CP004,ST004,2025-01-08,2025-01-24,,Borrowed
LD240005,MB230005,CP005,ST005,2025-01-09,2025-01-26,2025-02-01,Overdue
LD240006,MB230006,CP006,ST001,2025-01-10,2025-01-28,2024-01-27,Returned
LD240007,MB230007,CP007,ST002,2025-01-11,2025-01-29,,Borrowed
LD240008,MB230008,CP008,ST003,2025-01-12,2025-01-31,2025-01-30,Returned
LD240009,MB230009,CP009,ST004,2025-01-13,2025-02-01,2025-02-03,Overdue
LD240010,MB230010,CP010,ST005,2025-01-14,2025-02-03,2025-02-02,Returned
LD240011,MB230011,CP011,ST001,2025-01-15,2025-02-05,,Borrowed
LD240012,MB230012,CP012,ST002,2025-01-16,2025-02-08,2025-02-12,Overdue
LD240013,MB230013,CP013,ST003,2025-01-17,2025-02-10,2025-02-09,Returned
LD240014,MB230014,CP014,ST004,2025-01-18,2025-02-11,,Borrowed
LD240015,MB230015,CP015,ST005,2025-01-19,2025-02-13,2025-02-13,Returned
LD240016,MB230016,CP016,ST001,2025-01-20,2025-02-15,2025-02-14,Overdue
LD240017,MB230017,CP017,ST002,2025-01-21,2025-02-16,,Borrowed
LD240018,MB230018,CP018,ST003,2025-01-22,2025-02-18,2025-02-17,Returned
LD240019,MB230019,CP019,ST004,2025-01-23,2025-02-19,,Borrowed
LD240020,MB230020,CP020,ST005,2025-01-24,2025-02-21,,Borrowed
