PO_ID,SupplierID,StaffID,OrderDate,ExpectedDate,Status
PO001,SP20250101,ST005,2025-01-05,2025-01-12,Pending
PO002,SP20250103,ST001,2025-01-08,2025-01-15,Received
PO003,SP20250105,ST002,2025-01-10,2025-01-18,Received
PO004,SP20250107,ST003,2025-01-15,2025-01-19,Pending
PO005,SP20250102,ST003,2025-01-20,2025-01-20,Cancelled
PO006,SP20250104,ST005,2025-02-01,2025-01-21,Pending
PO007,SP20250106,ST001,2025-02-05,2025-01-22,Received
PO008,SP20250105,ST001,2025-02-06,2025-01-23,Pending
PO009,SP20250101,ST003,2025-02-07,2025-01-24,Received
PO010,SP20250113,ST002,2025-02-08,2025-01-25,Pending
